x,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10
0,40.8320396725,44.9916492929,38.0288076269,65.4788229686,41.4346864771,45.4067843985,47.1356739401,46.3911985903,34.6349382248,43.2056971417
1,37.9018352497,42.3557112402,37.6995331921,60.327046461,41.4694109666,46.0694256261,43.4719708784,43.3722565218,33.0249714597,40.5518954645
2,35.9191936659,40.6780549394,37.3984478312,56.4992197466,41.5256053528,46.6279155117,40.7396306504,41.0804645709,31.8648133677,38.6271717075
3,34.7687623577,39.8421536587,37.1192730882,53.8598946857,41.5919899209,47.0804087706,38.8301208016,39.4451385601,31.1022915713,37.3502053466
4,34.3351887618,39.7314806666,36.8557305072,52.2736231383,41.657284956,47.4250601182,37.6349088777,38.3955943122,30.6852336932,36.6396758575
5,34.5031203145,40.2295092313,36.601541632,51.6049569646,41.7102107433,47.66002427,37.0454624242,37.8611476498,30.5614673558,36.414262716
6,35.1572044525,41.2197126212,36.3504280066,51.7184480247,41.7394875681,47.7834559412,36.9532489868,37.7711143955,30.6788201817,36.5926453978
7,36.1820886123,42.5855641046,36.0961111752,52.4786481787,41.7338357155,47.7935098475,37.2497361111,38.054810372,30.9851197934,37.0935033786
8,37.4624202304,44.2105369499,35.8323126816,53.7501092868,41.6819754706,47.688340704,37.8263913427,38.641551402,31.4281938135,37.8355161343
9,38.8828467435,45.9781044253,35.5527540699,55.397383209,41.5726271188,47.4661032263,38.5746822271,39.4606533082,31.9558698646,38.7373631406
10,40.328015588,47.7717397992,35.251156884,57.2850218056,41.3945109452,47.1249521298,39.38607631,40.4414319132,32.5159755691,39.7177238731
11,41.6825742004,49.47491634,34.9212426679,59.2775769366,41.1363472349,46.6630421299,40.152041137,41.5132030397,33.0563385496,40.6952778078
12,42.8311700174,50.971107316,34.5567329657,61.2396004621,40.7868562732,46.0785279419,40.7640442537,42.6052825103,33.5247864287,41.5887044202
13,43.6584504755,52.1437859954,34.1513493214,63.0356442423,40.3347583453,45.3695642813,41.1135532057,43.6469861477,33.8691468289,42.3166831863
14,44.0490630112,52.8764256467,33.6988132788,64.5302601374,39.7687737363,44.5343058634,41.0920355386,44.5676297746,34.0372473727,42.7978935817
15,43.887655061,53.0524995382,33.192846382,65.5880000073,39.0776227315,43.5709074038,40.590958798,45.2965292136,33.9769156827,42.9510150822
16,43.0797724334,52.5779205789,32.6317184331,66.0866523442,38.2566634993,42.4858605974,39.5239669933,45.7692782772,33.6475054313,42.7078843599
17,41.729940512,51.5722561284,32.0570045429,66.0300355243,37.3644554565,41.3650359868,38.0158527994,45.9812453735,33.1181132178,42.1256116417
18,40.0528615945,50.2733760809,31.5342583902,65.4917518887,36.4945531621,40.3382569494,36.3083239485,45.9608966823,32.5186013611,41.3306723328
19,38.2644061479,48.9204046533,31.129287891,64.546143675,35.740882217,39.5358128802,34.6443277845,45.737049308,31.9794764588,40.4502772944
20,36.5804446393,47.7524660623,30.9079009608,63.2675531207,35.197368222,39.0879931741,33.2668116509,45.3385203549,31.6312451087,39.6116373876
21,35.2168475355,47.0086845246,30.9359055155,61.7303224632,34.9579367781,39.1250872259,32.4187228916,44.7941269275,31.6044139082,38.9419634735
22,34.3894853036,46.928184257,31.2791094709,60.0087939402,35.1165134859,39.7773844305,32.3430088502,44.1326861302,32.0294894551,38.5684664134
23,34.3131318876,47.747580614,32.0010523267,58.1800287211,35.7649152173,41.1723408296,33.2808894225,43.3845553834,33.0341063984,38.6193870796
24,35.0988501793,49.5690424581,33.1129045276,56.3304213365,36.9289594314,43.3381694417,35.3394125688,42.5863668352,34.6571170112,39.1710132108
25,36.5772508437,52.1742783947,34.5521968119,54.4677333473,38.5119219196,46.105437431,38.2750467096,41.7332893142,36.7739294245,40.0965357284
26,38.5272146259,55.288901482,36.24762971,52.5779596694,40.39838616,49.2732008025,41.780451333,40.8087581943,39.2351627051,41.2273065595
27,40.7276222714,58.6385247785,38.1279037522,50.6470952182,42.4729356303,52.6405155614,45.5482859269,39.7962088493,41.8914359199,42.3946776314
28,42.9573545252,61.9487613427,40.1217194688,48.6611349094,44.6201538087,56.0064377126,49.2712099792,38.679076653,44.5933681357,43.4300008715
29,44.9952921328,64.9452242328,42.1577773902,46.6060736588,46.7246241731,59.1700232612,52.6418829779,37.4407969792,47.1915784194,44.1646282068
30,46.6203158394,67.3535265072,44.1647780466,44.4679063818,48.6709302014,61.9303282123,55.3529644109,36.0648052018,49.5366858379,44.4299115647
31,47.6169270084,68.9064861544,46.0723698372,42.2340691777,50.3462446625,64.0910927096,57.1050312895,34.5362662199,51.4827041659,44.0625495181
32,47.9379772908,69.5527251889,47.8385919852,39.9351648665,51.7152954747,65.596357492,57.8358084418,32.892148149,52.9853263919,43.0593848335
33,47.7297492907,69.4888199306,49.454104176,37.6513939263,52.8319197976,66.5513657435,57.7554985695,31.2289399145,54.1170727911,41.6012626
34,47.1491927093,68.9250205838,50.911365009,35.4656919868,53.7548688798,67.0702504456,57.0893306549,29.6464128239,54.9569062887,39.8791750448
35,46.3532572474,68.0715773529,52.2028330835,33.4609946778,54.5428939698,67.2671445801,56.0625336805,28.2443381842,55.5837898101,38.084114395
36,45.4988926061,67.1387404426,53.3209669987,31.7202376292,55.2547463164,67.2561811287,54.9003366286,27.1224873029,56.0766862806,36.407072878
